1	1	1	881250949
1	2	2	891717742
1	3	5	878887116
1	4	1	880606923
1	5	1	886397596
2	1	4	884182806
2	2	2	881171488
2	3	5	891628467
2	4	3	886324817
2	5	3	883603013
3	1	2	879372434
3	2	5	879781125
3	3	5	876042340
3	4	3	891035994
3	5	3	888104457
4	1	3	879485318
4	2	5	879270459
4	3	2	879539794
4	4	4	874834944
4	5	2	892079237
5	1	4	886176814
5	2	4	892738452
5	3	4	877881320
5	4	2	874833878
5	5	4	887736532
6	1	1	879372434
6	2	4	879781125
6	3	2	876042340
6	4	1	891035994
6	5	3	888104457
